Subject	Upload Time	Criterion	Value
0ed57480fb57d2975c24a32428afaeb7	1482805153	Native Speaker	yes
6fa3000819bde2e0510112df3e007cd5	1482644182	Native Speaker	yes
5ac2a659da1ee8874822fbb527ca01a4	1482629269	Native Speaker	yes
bef8d8dceee6bc35c77c376231b8c9aa	1482790499	Native Speaker	yes
bb42d46964c8b4fef12d2774489f4095	1482627287	Native Speaker	yes
52608285f9586e501eb8eae1665f7026	1482718918	Native Speaker	yes
ecef714b07501c3a55307ce74459a65e	1482791830	Native Speaker	yes
c009a1474cac14847090b36a25d13855	1482800262	Native Speaker	yes
ddf0bfb06514fd1e41bc336a6b97e539	1482695135	Native Speaker	yes
7cb2a85a9558e5891bd79c224260ad3e	1482809496	Native Speaker	yes
d12c7eb7292f5f117629570fa2763994	1482738972	Native Speaker	yes
475daf0fee1cc91d6fbcb9596913e49e	1482627176	Native Speaker	yes
48582018b7b50d3aef5581f056d22554	1482789755	Native Speaker	yes
dd8dc463380e165611a57c121f2dc74c	1482791339	Native Speaker	yes
f87481391c2e755964254bfda7012edb	1482811846	Native Speaker	yes
f3bff69bcb3b6f3f7c335534957207da	1482802378	Native Speaker	yes
4345b194d50ca3c61eb67f2358612eba	1482783790	Native Speaker	yes
e810be6528ed8af1bc82002d8f431a6c	1482790100	Native Speaker	yes
491f06c6567a7bb09faa13aebacdd3c1	1482742614	Native Speaker	yes
6a60f85cc25a75a9ab3e4479c2b00a68	1482771562	Native Speaker	yes
e56204d82e8498437664908f57c55ed8	1482692633	Native Speaker	yes
f62c799c342e89abe5bbd11cf572bf7c	1482794807	Native Speaker	yes
67a3d674efd303fe75f20645f8d6c413	1482795395	Native Speaker	yes
42e2b31beb995f9612630ee7e4b63a75	1482789732	Native Speaker	yes
a4a16d837090f42bf13688fc33ae302a	1482795717	Native Speaker	yes
2646cdac5c29847e29b3851447132f5b	1482762556	Native Speaker	yes
cf90249b8998462d3a111a9a864bed79	1482800017	Native Speaker	yes
b714a574bd6a64d5bf5e2d393b336b2a	1482800527	Native Speaker	yes
22c4a4d737fe66d20de8fa8c521bac17	1482810013	Native Speaker	yes
4c477aa1ddf454728f675fa62f3995e7	1482685970	Native Speaker	yes
ee604a76c0af111d78313e787a50c55e	1482791464	Native Speaker	yes
b107808bb5e60e434602cfed527af9cd	1482720769	Native Speaker	yes
46cd272ed7adbee72ea9055a711ab654	1482803844	Native Speaker	yes
684bc12574f94590fa9b7583cf71f3c6	1482772931	Native Speaker	yes
98129b1ebaa495ff4881763948c71391	1482727419	Native Speaker	yes
7a205a8c404415f1ee0871e4ede516a1	1482782645	Native Speaker	yes
7d7c031832cfa1db11e0d96079705acc	1482792476	Native Speaker	yes
0e6721d9f98e9f9f5d92fab5ded1f740	1482792479	Native Speaker	yes
e98238797c277b85539fcd55c38bfecc	1482796418	Native Speaker	yes
894132363cfd1489889767e47075028e	1482799089	Native Speaker	yes
9dbdfb93dd22636cb7fc3d6f295146ed	1482812478	Native Speaker	yes
412473bb1a101d43b596dfe579bfc32d	1482794019	Native Speaker	yes
805d5ad1c3d3af555e0ec7d0406b4aa9	1482789785	Native Speaker	yes
a4757a6e35ffff158c8a07497c2d6c90	1482636620	Native Speaker	yes
a93275158fe90bbdf6216c1cc2565d42	1482795140	Native Speaker	yes
5f70da4b9d1016dd5f13607e78e95e76	1482789593	Native Speaker	yes
c4926f2dfdc8efa7e881ad87a2dd8772	1482809961	Native Speaker	yes
6e7d38ae690ac41c97f43bd81181e046	1482795117	Native Speaker	yes
6edb1aade56696eb8aef7c9dce39214a	1482774538	Native Speaker	yes
3aa851d1af72f20befb2875e0c820d0a	1482796546	Native Speaker	yes
7ab93ee0a365641fb734a8319c5a14e8	1482794576	Native Speaker	yes
4106cfb600371a65a17c44bb513df965	1482726723	Native Speaker	yes
af87a14cff0cdc3393d542799fad0d34	1482796511	Native Speaker	yes
42b4e8e99e1f93d3cf546ecb101aca41	1482770739	Native Speaker	yes
eae03ca575b421d42e0fb31933384c35	1482799346	Native Speaker	yes
c55b2d23828378ffa2a670651206d791	1482678742	Native Speaker	yes
627f1657ba94b3e1fa500a8e5e482ad1	1482630344	Native Speaker	yes
2c5a3d4b839a576d1c49539b5318c959	1482790116	Native Speaker	yes
9e7045a2cad826ce5cf2ce8989c988bf	1482766075	Native Speaker	yes
baef10a3215a019f2067b2cc10d9cf07	1482800499	Native Speaker	yes
3837d2f42f38f1748abf164a7c9d27f3	1482800949	Native Speaker	yes
9eaef40608e7cc17288cdbf574cad741	1482802890	Native Speaker	yes
b4e662e489ec2e6800c573b516c167e1	1482810276	Native Speaker	yes
51d9e1279410b01f053a00378e0a9f48	1482792787	Native Speaker	yes
a3504f93bd29eb1537438c9a782ed893	1482798762	Native Speaker	yes
8188c9f9e4de516cab680a616196f498	1482738625	Native Speaker	yes
